plant_id_eia,operating_year,capacity_mw,generator_id,fgd
2367,1952,50,4,0
2367,1957,50,6,0
2378,1964,163.2,2,1
2442,1970,818.1,5,1
2442,1969,818.1,4,1
2451,1976,369,1,1
2451,1982,555,4,1
2535,1955,155.3,1,1
2535,1958,167.2,2,1
2554,1960,217.6,ST4,1
2554,1950,96,2,1
2554,1959,217.6,3,1
2554,1950,96,1,1
2706,1971,207,2,1
2706,1964,206.6,1,1
2712,1966,410.8,1,1
2712,1973,745.2,3,1
2712,1980,745.2,4,1
2712,1968,657,2,1
2718,1960,278,4,1
2718,1957,163.2,1,1
2718,1961,272,5,1
2718,1957,163.2,2,1
2718,1959,272,3,1
2721,1972,621,5,1
2721,2012,909.5,6,1
2727,1970,711,4,1
2727,1966,348.5,2,1
2727,1969,711,3,1
2727,1965,348.5,1,1
2790,1963,75,2,1
2790,1954,40,1,1
2817,1975,440,2,1
2817,1966,216,1,1
2823,1977,477,2,1
2823,1970,257,1,1
2828,1977,650,3,1
2828,1967,615.2,1,1
2828,1967,615.2,2,1
2832,1975,557.1,7,1
2832,1978,557.7,8,1
2836,1970,680,9,0
2840,1976,443.9,5,1
2840,1973,841.5,4,1
2840,1978,443.9,6,1
2866,1969,680,6,1
2866,1967,334,5,1
2866,1959,190.4,1,1
2866,1962,190.4,4,1
2866,1960,190.4,2,1
2866,1971,680,7,1
2866,1961,190.4,3,1
2876,1955,217.3,1,1
2876,1955,217.3,2,1
2876,1955,217.3,5,1
2876,1955,217.3,4,1
2876,1955,217.3,3,1
2914,1954,8,3,0
2914,1968,19.5,4,0
2935,1971,25,10,0
2935,1949,5,7,0
2935,1961,22,9,0
2935,1955,7.5,8,0
2936,1990,22,7,0
2936,1949,7.5,ST2,0
2936,1965,16.5,5,0
2936,1953,7.5,3,0
2952,1977,572,4,0
2952,1984,572,6,0
2952,1978,572,5,0
2963,1979,473,3,1
3118,1971,975.5,2,1
3118,1970,975.5,1,1
3122,1969,660,1,1
3122,1977,692,3,1
3122,1969,660,2,1
3130,2004,585,FB1,1
3136,1968,936,2,1
3136,1967,936,1,1
3140,1961,363.3,1,1
3149,1972,864.9,1,1
3149,1973,893,2,1
3149,1973,17.2,11,1
3297,1970,385.9,1,1
3297,1971,385.9,2,1
3298,1973,659.7,ST1,1
3396,1967,950,1,1
3399,1973,1300,2,1
3399,1973,1300,1,1
3403,1956,300,1,0
3403,1959,327.6,3,0
3403,1959,327.6,4,0
3403,1957,300,2,0
3407,1955,200,5,1
3407,1954,175,4,1
3407,1955,200,8,1
3407,1955,200,9,1
3407,1954,175,3,1
3407,1955,200,6,1
3407,1954,175,1,1
3407,1954,175,2,1
3407,1955,200,7,1
3470,1977,734.1,5,1
3470,1980,614.6,7,1
3470,1982,654,8,1
3470,1978,734.1,6,1
3797,1960,187.5,4,1
3797,1952,112.5,3,1
3797,1969,693.9,6,1
3797,1964,359,5,1
3809,1957,187.5,1,0
3809,1959,187.5,2,0
3845,1973,729.9,2,1
3845,1972,729.9,1,1
3935,1972,816.3,2,1
3935,1971,816.3,1,1
3935,1973,1300,3,1
3943,1967,576,1,1
3943,1968,576,2,1
3944,1972,684,1,1
