start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
ERC_REST,ERC_WEST_PHDL,503805.6427415284,24403.854237022915,0.0351773139648437,301864,301162,2018,472.1787155501885,271718.0809329405,,0.021446431902812348,,222.80324910844055,,775523.7236744689,0.05662374586765605,694.9819646586291,37565.61321329746
ERC_REST,SPP_WEST,333984.62164559326,16177.889512499629,0.0207483273010253,149640,303537,2018,278.50104602052505,271718.0809329405,,0.021446431902812348,,222.80324910844055,,605702.7025785337,0.042194759203837646,501.3042951289656,29339.648488774164
ERC_WEST_PHDL,SPP_WEST,540914.2560497657,26201.35929310836,0.0338887463603764,301162,149221,2018,594.5912331781975,,,,,,,540914.2560497657,0.0338887463603764,594.5912331781975,26201.35929310836
FRCC,S_SOU,549722.5572487696,26628.02481707225,0.0275403341674804,151978,116001,2018,483.1637802864804,316569.2541332656,397700.8759244141,0.03006967619358216,0.0195274735565185,185.42825201772382,262.1137443927329,1263992.6873064493,0.07713748391758106,930.705776696937,61226.57366407229
MIS_AMSO,MIS_D_MS,370615.98003779294,17952.276805668585,0.021604643918164,109674,114308,2018,290.04698756654335,,,,,,,370615.98003779294,0.021604643918164,290.04698756654335,17952.276805668585
MIS_AMSO,MIS_LA,121545.0814379242,5887.525265690483,0.0174656387329101,149851,114308,2018,50.50304832720498,,,,,,,121545.0814379242,0.0174656387329101,50.50304832720498,5887.525265690483
MIS_AR,MIS_LA,553238.8480216309,26798.350514515707,0.0310647703857421,112435,150001,2018,544.9959953866403,,,,,,,553238.8480216309,0.0310647703857421,544.9959953866403,26798.350514515707
MIS_AR,S_C_TVA,277418.64677847904,13437.888829060736,0.0188024021731689,153537,150001,2018,252.43302653586494,,423800.8732021485,,0.0236796594848632,,317.8477631084999,701219.5199806276,0.0424820616580321,570.2807896443649,33966.39001628206
MIS_AR,S_D_AECI,566660.0717514942,27448.46150931076,0.0298418298564702,121417,108016,2018,523.5927124746149,,,,,,,566660.0717514942,0.0298418298564702,523.5927124746149,27448.46150931076
MIS_AR,SPP_N,558784.2614584181,27066.96493586075,0.0290940747070312,117600,108016,2018,510.4224022578321,,,,,,,558784.2614584181,0.0290940747070312,510.4224022578321,27066.96493586075
MIS_AR,SPP_WEST,546079.9510581446,26451.580523921504,0.0296381759258061,149640,108016,2018,520.019858994016,,,,,,,546079.9510581446,0.0296381759258061,520.019858994016,26451.580523921504
MIS_D_MS,MIS_LA,337432.2214689941,16344.887887309464,0.0190678970919922,109659,112438,2018,255.99673503484922,,,,,,,337432.2214689941,0.0190678970919922,255.99673503484922,16344.887887309464
MIS_D_MS,S_C_TVA,333214.3330207398,16140.577482370174,0.0233898633548095,153534,153561,2018,314.0096679918768,,423800.8732021485,,0.0236796594848632,,317.8477631084999,757015.2062228883,0.0470695228396727,631.8574311003767,36669.07866959149
MIS_D_MS,S_SOU,514176.5042175049,24906.20865765796,0.0290257142791748,109268,149767,2018,389.6069080901144,,397700.8759244141,,0.0195274735565185,,262.1137443927329,911877.380141919,0.048553187835693304,651.7206524828473,44170.451418382654
MIS_IA,MIS_IL,303170.03835676267,14685.261135288249,0.0189479793292358,137979,159736,2018,254.38708498984607,,,,,,,303170.03835676267,0.0189479793292358,254.38708498984607,14685.261135288247
MIS_IA,MIS_MIDA,321524.0150266662,15574.30987417234,0.0560855693817138,132159,146241,2018,162.17514421272134,,,,,,,321524.0150266662,0.0560855693817138,162.17514421272134,15574.30987417234
MIS_IA,MIS_MNWI,407007.69157694094,19715.05583887759,0.0266169060641601,132104,129590,2018,357.3256851698578,,,,,,,407007.69157694094,0.0266169060641601,357.3256851698578,19715.05583887759
MIS_IA,MIS_MO,472051.75709575193,22865.726969249965,0.0296946250610351,131591,117940,2018,398.5855697996806,,,,,,,472051.75709575193,0.0296946250610351,398.5855697996806,22865.726969249965
MIS_IA,MIS_WUMS,460591.4422165284,22310.60048773407,0.0294614610263183,144525,131591,2018,395.5076656851972,,,,,,,460591.4422165284,0.0294614610263183,395.5076656851972,22310.600487734075
MIS_IA,PJM_COMD,317370.40490665287,15373.113048796104,0.0208502450229004,134652,131591,2018,279.9208332270454,,,,,,,317370.40490665287,0.0208502450229004,279.9208332270454,15373.113048796105
MIS_IA,S_D_AECI,523750.24454143073,25369.95130670181,0.033984936553955,132114,121121,2018,456.1736649163038,,,,,,,523750.24454143073,0.033984936553955,456.1736649163038,25369.95130670181
MIS_IA,SPP_WAUE,708405.1459095215,34314.45473190586,0.0547421125488281,134908,132159,2018,960.3880041067937,,,,,,,708405.1459095215,0.0547421125488281,960.3880041067937,34314.45473190586
MIS_IL,MIS_INKY,313261.940631189,15174.103044122783,0.021610125470288,153313,122068,2018,290.12058069535135,,,,,,,313261.940631189,0.021610125470288,290.12058069535135,15174.103044122785
MIS_IL,MIS_MIDA,440131.208631836,21319.52671702516,0.0287674788360595,148643,159736,2018,386.14065632731354,,,,,,,440131.208631836,0.0287674788360595,386.14065632731354,21319.52671702516
MIS_IL,MIS_MO,295395.3211269776,14308.661411281017,0.0188368923416137,117905,153362,2018,252.8441917710327,,,,,,,295395.3211269776,0.0188368923416137,252.8441917710327,14308.661411281017
