CA_N,CA_S,WECC_AZ,WECC_CO
0.326,0.364,0.485,0.332
0.084,0.092,0.246,0.078
0,0,0.013,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.067,0.205,0.026,0.103
0.348,0.449,0.327,0.471
0.558,0.62,0.548,0.672
0.681,0.721,0.688,0.794
0.739,0.761,0.756,0.831
0.737,0.747,0.776,0.782
0.675,0.68,0.741,0.69
0.552,0.553,0.644,0.572
0.356,0.356,0.485,0.319
0.091,0.097,0.25,0.072
0,0,0.014,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.073,0.245,0.031,0.013
0.363,0.49,0.347,0.11
0.556,0.659,0.57,0.612
0.657,0.755,0.708,0.741
0.694,0.793,0.77,0.815
0.667,0.778,0.785,0.829
0.545,0.708,0.748,0.76
0.334,0.58,0.651,0.612
0.157,0.378,0.491,0.327
0.031,0.109,0.254,0.058
0,0,0.015,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.069,0.241,0.029,0.108
0.36,0.485,0.331,0.424
0.573,0.653,0.552,0.626
0.689,0.751,0.691,0.748
0.74,0.79,0.756,0.802
0.735,0.774,0.773,0.795
0.667,0.705,0.737,0.721
0.54,0.575,0.647,0.574
0.337,0.375,0.488,0.355
0.081,0.105,0.255,0.074
0,0,0.018,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.079,0.227,0.03,0.113
0.372,0.47,0.326,0.348
0.568,0.639,0.545,0.521
0.682,0.738,0.683,0.723
0.739,0.779,0.75,0.791
0.736,0.765,0.769,0.789
0.675,0.697,0.733,0.724
0.551,0.567,0.636,0.593
0.353,0.363,0.479,0.382
0.092,0.098,0.248,0.09
0,0,0.018,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.075,0.207,0.026,0.125
0.356,0.452,0.311,0.454
0.553,0.625,0.538,0.647
0.679,0.733,0.678,0.761
0.734,0.772,0.745,0.812
0.728,0.758,0.769,0.806
0.66,0.691,0.736,0.739
0.541,0.562,0.64,0.603
0.349,0.361,0.482,0.389
0.094,0.098,0.25,0.091
0,0,0.017,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.075,0.224,0.02,0.151
0.351,0.466,0.243,0.477
0.549,0.637,0.463,0.67
0.673,0.736,0.592,0.783
0.73,0.777,0.672,0.814
0.728,0.763,0.725,0.76
0.671,0.693,0.713,0.744
0.549,0.551,0.618,0.586
