CA_N,CA_S,WECC_AZ,WECC_CO
0.584,0.67,0.828,0.879
0.598,0.545,0.789,0.811
0.502,0.388,0.701,0.681
0.304,0.211,0.537,0.482
0.11,0.072,0.301,0.207
0.004,0,0.055,0.003
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.009,0,0.007
0.171,0.139,0.117,0.286
0.409,0.312,0.342,0.543
0.547,0.457,0.56,0.728
0.606,0.427,0.702,0.84
0.579,0.342,0.76,0.889
0.523,0.271,0.763,0.881
0.212,0.187,0.713,0.814
0.138,0.157,0.567,0.688
0.118,0.075,0.389,0.493
0.026,0.022,0.182,0.23
0,0,0.033,0.006
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.003
0.006,0.023,0.05,0.228
0.041,0.078,0.206,0.495
0.056,0.171,0.344,0.667
0.065,0.134,0.537,0.71
0.081,0.16,0.585,0.663
0.083,0.194,0.447,0.487
0.078,0.287,0.449,0.381
0.069,0.215,0.513,0.281
0.047,0.196,0.385,0.179
0.025,0.088,0.195,0.068
0,0,0.031,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.009,0,0.001
0.044,0.074,0.026,0.101
0.131,0.186,0.103,0.233
0.193,0.338,0.154,0.351
0.224,0.474,0.446,0.473
0.265,0.461,0.725,0.574
0.186,0.432,0.769,0.587
0.152,0.36,0.7,0.481
0.153,0.355,0.352,0.276
0.127,0.364,0.117,0.14
0.054,0.164,0.088,0.047
0.002,0.003,0.034,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.018,0,0.01
0.05,0.168,0.154,0.27
0.171,0.311,0.378,0.514
0.34,0.402,0.576,0.642
0.487,0.463,0.705,0.751
0.495,0.453,0.773,0.834
0.405,0.405,0.791,0.845
0.373,0.483,0.749,0.783
0.296,0.239,0.512,0.652
0.249,0.133,0.334,0.47
0.132,0.044,0.215,0.221
0.009,0,0.057,0.01
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.013,0,0.007
0.095,0.134,0.151,0.2
0.264,0.286,0.378,0.421
0.455,0.656,0.575,0.575
0.604,0.788,0.706,0.658
0.627,0.836,0.779,0.68
0.609,0.832,0.798,0.715
0.408,0.768,0.766,0.733
0.321,0.645,0.679,0.626
0.249,0.455,0.536,0.399
0.077,0.21,0.336,0.142
0.006,0.008,0.101,0.006
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.02,0,0.012
0.067,0.278,0.156,0.252
0.158,0.521,0.411,0.472
0.315,0.472,0.611,0.666
0.516,0.63,0.743,0.801
0.529,0.769,0.804,0.873
0.468,0.719,0.821,0.876
0.451,0.64,0.789,0.811
0.381,0.493,0.629,0.683
0.212,0.265,0.549,0.493
0.089,0.087,0.32,0.242
0.007,0.002,0.058,0.017
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.001,0.018,0,0.012
0.091,0.123,0.065,0.244
0.262,0.238,0.344,0.52
0.534,0.35,0.592,0.68
0.719,0.299,0.728,0.762
0.791,0.339,0.788,0.761
0.781,0.711,0.805,0.735
0.71,0.62,0.771,0.693
0.57,0.224,0.639,0.538
0.377,0.087,0.369,0.461
0.151,0.056,0.121,0.263
0.013,0.003,0.024,0.023
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.003,0.026,0,0.022
0.062,0.146,0.156,0.33
0.117,0.298,0.413,0.59
0.464,0.498,0.609,0.774
0.292,0.661,0.735,0.891
0.206,0.702,0.799,0.935
0.27,0.656,0.817,0.935
0.196,0.376,0.784,0.869
0.31,0.23,0.697,0.74
0.244,0.21,0.504,0.545
0.039,0.1,0.219,0.281
0,0.004,0.057,0.02
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.033,0,0.009
0.022,0.25,0.149,0.152
0.077,0.464,0.424,0.471
0.197,0.62,0.619,0.597
0.187,0.712,0.732,0.694
0.169,0.743,0.788,0.583
0.144,0.726,0.809,0.457
0.13,0.66,0.778,0.484
0.113,0.503,0.681,0.628
0.061,0.275,0.532,0.382
0.019,0.089,0.342,0.073
0,0.003,0.106,0.003
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.033,0,0.003
0.017,0.197,0.174,0.069
0.055,0.33,0.418,0.182
0.097,0.421,0.603,0.333
0.113,0.514,0.715,0.501
0.117,0.463,0.762,0.553
0.135,0.394,0.747,0.565
0.133,0.278,0.669,0.498
0.155,0.172,0.535,0.448
0.265,0.094,0.376,0.345
0.134,0.032,0.205,0.139
0.012,0,0.054,0.009
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.001,0.018,0,0.021
0.057,0.123,0.066,0.267
0.142,0.34,0.125,0.507
0.238,0.647,0.218,0.684
0.195,0.756,0.486,0.796
0.173,0.788,0.49,0.847
0.147,0.765,0.428,0.84
0.129,0.703,0.372,0.77
0.117,0.57,0.351,0.628
0.074,0.351,0.251,0.421
0.037,0.136,0.095,0.187
0.002,0.008,0.017,0.022
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.008,0.009,0,0.02
0.179,0.086,0.057,0.245
0.435,0.144,0.208,0.474
0.584,0.141,0.416,0.642
0.571,0.259,0.578,0.752
0.528,0.435,0.618,0.823
0.515,0.575,0.607,0.854
0.505,0.631,0.573,0.807
0.459,0.552,0.469,0.693
0.292,0.408,0.331,0.514
0.146,0.188,0.185,0.273
0.017,0.009,0.055,0.035
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.008,0.058,0,0.033
0.162,0.318,0.086,0.311
0.374,0.549,0.296,0.546
0.56,0.711,0.504,0.707
0.682,0.813,0.606,0.821
0.74,0.855,0.729,0.865
0.722,0.855,0.725,0.854
0.648,0.79,0.604,0.817
0.523,0.671,0.512,0.71
0.372,0.486,0.367,0.527
0.177,0.24,0.195,0.284
0.018,0.022,0.05,0.039
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.007,0.05,0,0.032
0.123,0.279,0.113,0.301
0.282,0.536,0.328,0.536
0.617,0.707,0.569,0.697
0.732,0.811,0.699,0.81
0.766,0.856,0.774,0.879
0.73,0.845,0.733,0.892
0.648,0.779,0.605,0.826
0.539,0.649,0.487,0.707
0.4,0.459,0.334,0.517
0.217,0.218,0.177,0.257
0.031,0.02,0.056,0.023
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.017,0.062,0,0.023
0.243,0.317,0.164,0.198
0.481,0.547,0.419,0.369
0.661,0.714,0.622,0.43
0.778,0.818,0.76,0.44
0.833,0.862,0.838,0.518
0.833,0.851,0.862,0.454
0.778,0.787,0.832,0.353
0.666,0.663,0.745,0.257
0.493,0.479,0.6,0.141
0.265,0.239,0.392,0.059
0.042,0.024,0.135,0.006
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.011,0.059,0,0.041
0.153,0.309,0.16,0.326
0.336,0.537,0.407,0.575
0.516,0.703,0.593,0.752
0.738,0.807,0.691,0.857
0.822,0.853,0.723,0.9
0.823,0.843,0.715,0.893
0.768,0.78,0.634,0.834
0.656,0.657,0.495,0.717
0.485,0.473,0.292,0.537
0.252,0.23,0.141,0.293
0.034,0.023,0.036,0.041
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.011,0.017,0,0.025
0.21,0.132,0.036,0.205
0.481,0.328,0.108,0.36
0.677,0.573,0.275,0.528
0.802,0.733,0.469,0.728
0.867,0.733,0.587,0.868
0.875,0.744,0.738,0.884
0.82,0.704,0.749,0.816
0.706,0.608,0.692,0.675
0.529,0.426,0.561,0.481
0.297,0.235,0.365,0.242
0.054,0.029,0.134,0.033
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.026,0.078,0,0.022
0.277,0.344,0.163,0.23
0.524,0.574,0.409,0.506
0.705,0.739,0.609,0.695
0.82,0.84,0.748,0.836
0.875,0.883,0.82,0.935
0.873,0.871,0.843,0.935
0.816,0.805,0.813,0.899
0.704,0.681,0.728,0.771
0.529,0.496,0.585,0.578
0.294,0.25,0.382,0.32
0.055,0.031,0.138,0.052
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.012,0.046,0.001,0.05
0.164,0.284,0.164,0.334
0.415,0.509,0.408,0.593
0.645,0.617,0.603,0.776
0.781,0.609,0.734,0.889
0.842,0.592,0.809,0.935
0.843,0.607,0.829,0.931
0.785,0.574,0.799,0.866
0.673,0.477,0.713,0.743
0.502,0.343,0.57,0.556
0.277,0.177,0.37,0.306
0.05,0.017,0.133,0.045
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.024,0.035,0.001,0.039
0.249,0.235,0.158,0.224
0.487,0.528,0.399,0.407
0.667,0.7,0.593,0.629
0.783,0.803,0.727,0.805
0.838,0.847,0.788,0.827
0.838,0.837,0.811,0.715
0.783,0.774,0.78,0.546
0.673,0.653,0.694,0.391
0.505,0.472,0.553,0.211
0.282,0.245,0.354,0.079
0.054,0.033,0.124,0.008
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.02,0.072,0.001,0.046
0.191,0.321,0.16,0.311
0.426,0.545,0.402,0.558
0.647,0.704,0.597,0.746
0.771,0.794,0.732,0.87
0.838,0.842,0.807,0.928
0.84,0.836,0.828,0.926
0.787,0.783,0.799,0.866
0.675,0.662,0.708,0.746
0.507,0.479,0.567,0.563
0.281,0.248,0.366,0.318
0.055,0.034,0.133,0.057
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.008,0.062,0.001,0.063
0.139,0.267,0.151,0.344
0.466,0.469,0.383,0.59
0.613,0.636,0.582,0.763
0.541,0.725,0.716,0.875
0.479,0.73,0.793,0.924
0.625,0.695,0.816,0.919
0.656,0.642,0.787,0.858
0.591,0.593,0.697,0.739
0.34,0.46,0.556,0.559
0.107,0.238,0.356,0.317
0.018,0.029,0.132,0.059
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.008,0.033,0.002,0.062
0.098,0.212,0.156,0.333
0.229,0.453,0.393,0.575
0.387,0.685,0.608,0.746
0.442,0.784,0.74,0.854
0.541,0.835,0.82,0.895
0.446,0.817,0.839,0.893
0.32,0.741,0.809,0.839
0.206,0.63,0.726,0.721
0.122,0.459,0.585,0.542
0.04,0.25,0.387,0.305
0.006,0.033,0.151,0.056
0,0,0.001,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.006,0.08,0.002,0.057
0.067,0.316,0.176,0.303
0.141,0.532,0.419,0.532
0.251,0.691,0.611,0.705
0.393,0.791,0.74,0.809
0.494,0.834,0.811,0.848
0.579,0.823,0.829,0.828
0.54,0.76,0.8,0.789
0.432,0.644,0.716,0.686
0.323,0.47,0.58,0.519
0.18,0.251,0.385,0.297
0.034,0.036,0.152,0.056
0,0,0.001,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.018,0.086,0.003,0.061
0.15,0.322,0.182,0.299
0.343,0.538,0.422,0.517
0.51,0.693,0.613,0.675
0.648,0.787,0.738,0.771
0.69,0.827,0.804,0.82
0.699,0.818,0.824,0.817
0.635,0.759,0.794,0.759
0.549,0.645,0.712,0.63
0.394,0.475,0.576,0.443
0.233,0.256,0.385,0.232
0.058,0.04,0.154,0.044
0,0,0.002,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.022,0.084,0.003,0.036
0.185,0.323,0.168,0.157
0.444,0.536,0.398,0.241
0.626,0.684,0.6,0.366
0.74,0.779,0.732,0.561
0.792,0.82,0.804,0.696
0.772,0.812,0.824,0.669
0.7,0.752,0.795,0.532
0.62,0.639,0.713,0.338
0.421,0.471,0.579,0.198
0.142,0.245,0.388,0.103
0.021,0.037,0.156,0.021
0,0,0.002,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.025,0.032,0.004,0.063
0.202,0.127,0.182,0.305
0.432,0.239,0.415,0.54
0.617,0.345,0.598,0.712
0.71,0.484,0.722,0.818
0.692,0.579,0.784,0.867
0.631,0.529,0.788,0.86
0.636,0.421,0.723,0.799
0.623,0.353,0.55,0.675
0.488,0.333,0.325,0.501
0.285,0.216,0.18,0.277
0.069,0.035,0.066,0.052
0,0,0.001,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.039,0.085,0,0.011
0.248,0.323,0.029,0.079
0.472,0.538,0.088,0.185
0.642,0.695,0.144,0.316
0.754,0.802,0.219,0.465
0.809,0.847,0.342,0.579
0.805,0.839,0.507,0.559
0.748,0.777,0.624,0.385
0.636,0.66,0.637,0.209
0.465,0.483,0.512,0.135
0.235,0.262,0.322,0.088
0.051,0.043,0.132,0.025
0,0,0.002,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.025,0.032,0.002,0.073
0.128,0.15,0.168,0.312
0.246,0.329,0.406,0.536
0.317,0.572,0.59,0.699
0.322,0.693,0.716,0.802
0.377,0.74,0.783,0.85
0.349,0.616,0.801,0.845
0.18,0.58,0.765,0.77
0.156,0.498,0.642,0.562
0.161,0.353,0.55,0.333
0.057,0.199,0.36,0.165
0.008,0.036,0.12,0.045
0,0,0.002,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.018,0.057,0.006,0.031
0.174,0.265,0.184,0.145
0.381,0.424,0.421,0.353
0.508,0.546,0.609,0.639
0.551,0.717,0.738,0.811
0.602,0.849,0.812,0.862
0.589,0.854,0.834,0.858
0.543,0.782,0.806,0.802
0.498,0.69,0.728,0.692
0.386,0.503,0.592,0.505
0.24,0.275,0.397,0.228
0.063,0.048,0.163,0.05
0,0,0.004,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.048,0.1,0.007,0.008
0.283,0.355,0.2,0.054
0.517,0.579,0.448,0.146
0.693,0.738,0.644,0.348
0.812,0.837,0.779,0.622
0.867,0.879,0.85,0.653
0.862,0.867,0.869,0.6
0.807,0.804,0.835,0.457
0.694,0.684,0.748,0.322
0.516,0.505,0.605,0.183
0.3,0.276,0.406,0.083
0.083,0.051,0.171,0.02
0,0,0.006,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.051,0.094,0.008,0.024
0.272,0.34,0.201,0.146
0.481,0.56,0.447,0.355
0.669,0.721,0.637,0.581
0.785,0.821,0.769,0.751
0.838,0.864,0.842,0.824
0.837,0.855,0.86,0.829
0.785,0.793,0.831,0.763
0.679,0.677,0.748,0.614
0.514,0.501,0.608,0.364
0.299,0.276,0.411,0.165
0.079,0.052,0.176,0.033
0,0,0.006,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.044,0.092,0.008,0.03
0.237,0.33,0.198,0.209
0.461,0.543,0.44,0.452
0.627,0.695,0.625,0.608
0.741,0.795,0.751,0.681
0.805,0.837,0.823,0.689
0.805,0.829,0.843,0.689
0.744,0.769,0.811,0.51
0.644,0.655,0.727,0.386
0.493,0.484,0.589,0.253
0.282,0.255,0.395,0.161
0.079,0.041,0.166,0.042
0,0,0.006,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.052,0.092,0.008,0.033
0.266,0.329,0.187,0.119
0.483,0.542,0.42,0.15
0.646,0.696,0.607,0.195
0.758,0.79,0.734,0.255
0.815,0.831,0.8,0.299
0.82,0.82,0.816,0.309
0.768,0.759,0.784,0.299
0.666,0.649,0.704,0.274
0.51,0.483,0.573,0.197
0.307,0.268,0.388,0.081
0.09,0.054,0.171,0.012
0,0,0.007,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.058,0.103,0.009,0.014
0.283,0.345,0.215,0.103
0.502,0.56,0.464,0.312
0.667,0.715,0.664,0.661
0.772,0.811,0.799,0.878
0.824,0.851,0.872,0.935
0.822,0.842,0.89,0.935
0.772,0.782,0.855,0.902
0.668,0.67,0.768,0.768
0.509,0.502,0.626,0.581
0.305,0.284,0.428,0.333
0.09,0.059,0.189,0.092
0,0,0.008,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.056,0.102,0.01,0.094
0.271,0.341,0.209,0.354
0.484,0.552,0.453,0.597
0.647,0.703,0.64,0.777
0.751,0.799,0.77,0.884
0.8,0.843,0.842,0.917
0.798,0.834,0.861,0.892
0.747,0.777,0.829,0.865
0.645,0.662,0.745,0.739
0.488,0.491,0.607,0.568
0.289,0.271,0.415,0.336
0.084,0.056,0.182,0.092
0,0,0.009,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.057,0.087,0.004,0.078
0.271,0.304,0.075,0.321
0.52,0.52,0.196,0.564
0.699,0.662,0.477,0.74
0.813,0.77,0.683,0.846
0.869,0.801,0.696,0.895
0.871,0.799,0.558,0.891
0.82,0.739,0.507,0.834
0.714,0.62,0.6,0.718
0.552,0.446,0.479,0.546
0.336,0.212,0.354,0.316
0.105,0.041,0.169,0.08
0,0,0.008,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.065,0.11,0.01,0.036
0.298,0.355,0.185,0.215
0.523,0.575,0.419,0.397
0.69,0.736,0.615,0.57
0.799,0.834,0.752,0.68
0.853,0.875,0.822,0.736
0.853,0.862,0.85,0.666
0.799,0.795,0.824,0.583
0.692,0.674,0.743,0.47
0.53,0.498,0.611,0.349
0.316,0.284,0.418,0.198
0.094,0.062,0.186,0.057
0,0,0.009,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.061,0.107,0.011,0.099
0.223,0.345,0.21,0.339
0.493,0.557,0.449,0.552
0.663,0.71,0.636,0.785
0.746,0.806,0.765,0.878
0.796,0.849,0.838,0.871
0.818,0.84,0.858,0.897
0.738,0.781,0.826,0.818
0.66,0.668,0.744,0.707
0.504,0.498,0.606,0.515
0.297,0.279,0.415,0.289
0.07,0.063,0.185,0.078
0,0,0.01,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.068,0.095,0.008,0.035
0.285,0.319,0.156,0.147
0.495,0.529,0.36,0.369
0.657,0.689,0.531,0.473
0.77,0.787,0.699,0.493
0.824,0.829,0.813,0.542
0.823,0.818,0.831,0.468
0.771,0.758,0.801,0.383
0.67,0.648,0.718,0.238
0.515,0.482,0.578,0.15
0.312,0.274,0.384,0.078
0.102,0.064,0.164,0.021
0,0,0.009,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.044,0.081,0.012,0.108
0.216,0.252,0.199,0.369
0.477,0.441,0.427,0.604
0.637,0.613,0.611,0.777
0.693,0.739,0.738,0.883
0.759,0.8,0.807,0.931
0.747,0.794,0.825,0.908
0.65,0.737,0.792,0.842
0.472,0.625,0.711,0.744
0.345,0.454,0.575,0.575
0.27,0.228,0.388,0.345
0.085,0.042,0.169,0.078
0,0,0.01,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.073,0.105,0.012,0.101
0.301,0.345,0.196,0.343
0.527,0.57,0.42,0.563
0.702,0.728,0.605,0.697
0.82,0.832,0.734,0.754
0.876,0.875,0.812,0.777
0.876,0.865,0.832,0.685
0.824,0.806,0.803,0.538
0.717,0.69,0.726,0.491
0.556,0.516,0.59,0.389
0.345,0.296,0.399,0.234
0.117,0.07,0.178,0.057
0,0,0.01,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.079,0.118,0.013,0.051
0.321,0.362,0.218,0.143
0.547,0.576,0.457,0.213
0.716,0.737,0.649,0.256
0.826,0.838,0.783,0.328
0.877,0.883,0.857,0.469
0.876,0.875,0.879,0.663
0.824,0.813,0.849,0.644
0.718,0.697,0.768,0.49
0.557,0.525,0.628,0.319
0.345,0.305,0.436,0.183
0.118,0.075,0.201,0.059
0,0,0.011,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.08,0.122,0.012,0.11
0.31,0.367,0.227,0.363
0.527,0.579,0.465,0.602
0.691,0.732,0.65,0.761
0.796,0.827,0.778,0.859
0.847,0.868,0.848,0.801
0.847,0.857,0.866,0.688
0.798,0.798,0.834,0.55
0.695,0.684,0.75,0.409
0.541,0.517,0.615,0.303
0.338,0.3,0.427,0.194
0.117,0.076,0.199,0.077
0,0,0.011,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.081,0.12,0.013,0.122
0.308,0.356,0.19,0.394
0.521,0.562,0.436,0.631
0.68,0.713,0.622,0.806
0.781,0.809,0.745,0.915
0.829,0.849,0.812,0.935
0.827,0.84,0.829,0.935
0.777,0.782,0.799,0.889
0.68,0.67,0.716,0.771
0.463,0.452,0.585,0.594
0.156,0.191,0.404,0.364
0.05,0.055,0.187,0.116
0,0,0.011,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.052,0.12,0.013,0.121
0.198,0.352,0.207,0.385
0.35,0.561,0.43,0.612
0.538,0.716,0.606,0.771
0.657,0.816,0.727,0.871
0.605,0.86,0.794,0.915
0.433,0.853,0.81,0.909
0.286,0.793,0.784,0.851
0.243,0.661,0.71,0.741
0.171,0.426,0.582,0.575
0.1,0.224,0.398,0.354
0.048,0.043,0.19,0.114
0,0,0.011,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.035,0.111,0.014,0.116
0.13,0.34,0.206,0.359
0.257,0.543,0.429,0.574
0.441,0.692,0.616,0.729
0.587,0.778,0.748,0.831
0.659,0.815,0.821,0.872
0.7,0.811,0.842,0.865
0.682,0.748,0.813,0.81
0.587,0.641,0.732,0.69
0.483,0.474,0.594,0.487
0.287,0.279,0.408,0.307
0.074,0.076,0.188,0.105
0,0,0.012,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.018,0.12,0.014,0.069
0.067,0.353,0.216,0.272
0.114,0.558,0.443,0.55
0.163,0.705,0.628,0.689
0.199,0.784,0.756,0.752
0.215,0.799,0.825,0.81
0.202,0.772,0.845,0.8
0.163,0.705,0.814,0.769
0.132,0.592,0.734,0.664
0.086,0.441,0.596,0.443
0.046,0.251,0.398,0.197
0.014,0.058,0.157,0.064
0,0,0.013,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
