ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting
2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045,2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045
moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high,high,high,high,high,high,high,high,high,high,high,high
CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV
197.7,254.9,188.1,138.9,44.3,408.8,48.2,324.5,418.4,390.7,254.8,81.3,709.5,83.6,501.9,647,477.5,352.6,112.5,1037.7,122.3,2476.1,3192.1,2980.6,1944.4,620.3,5412.9,638
222.8,287.3,205.7,157.2,48.5,450.7,52.7,365.8,471.5,427.3,288.4,88.9,782.3,91.5,565.6,729.2,522.3,399,123.1,1144.2,133.8,2790.7,3597.7,3260.3,2200.1,678.5,5968.4,697.9
227.5,293.4,215.8,209.8,50.8,466.8,55.3,373.5,481.5,448.2,385,93.3,810.2,95.9,577.6,744.7,547.8,532.7,129.1,1185,140.3,2849.8,3673.9,3419.7,2937.2,711.7,6181.2,732
266.2,343.1,262.6,276.3,61.9,554,67.3,436.9,563.3,545.5,507,113.5,961.6,116.8,675.7,871.1,666.7,701.5,157.1,1406.4,170.8,3333.5,4297.4,4161.8,3867.9,866.1,7336.4,890.9
357.1,460.4,350.6,327.5,82.6,744,89.8,586.2,755.7,728.2,600.8,151.6,1291.3,155.9,906.5,1168.6,890.1,831.3,209.7,1888.7,228,4472.3,5765.6,5556.2,4583.9,1156.3,9852.2,1189.3
457.7,590,436.3,259.5,102.8,942.8,111.8,751.2,968.5,906.2,476,188.6,1636.2,194,1161.7,1497.7,1107.6,658.7,261,2393.3,283.7,5731.6,7389,6913.9,3631.8,1438.9,12484,1480
508.2,655.1,443,149.6,104.4,1026.6,113.5,834.1,1075.4,920.1,274.5,191.5,1781.6,197,1290,1663,1124.6,379.8,265,2605.9,288.1,6364.2,8204.6,7020.1,2094.2,1461,13593,1502.7
373.9,482,318.2,108.2,75,743.9,81.5,613.8,791.2,660.8,198.5,137.5,1291.1,141.4,949.1,1223.6,807.6,274.7,190.3,1888.4,206.9,4682.7,6036.9,5041.5,1514.6,1049.2,9850.4,1079.2
213.7,275.5,186.1,84.2,43.8,421.2,47.7,350.7,452.1,386.5,154.4,80.4,730.9,82.7,542.4,699.2,472.4,213.7,111.3,1069.1,121,2675.9,3449.7,2948.9,1178.2,613.7,5576.7,631.2
167.7,216.2,143.1,58.1,33.7,322.5,36.7,275.2,354.8,297.3,106.6,61.9,559.8,63.6,425.6,548.7,363.3,147.6,85.6,818.8,93.1,2099.8,2707,2268,813.6,472,4270.9,485.5
128.9,166.2,107.8,41.2,25.4,240,27.6,211.7,272.9,223.8,75.5,46.6,416.6,47.9,327.3,422,273.5,104.5,64.5,609.3,70.1,1614.8,2081.8,1707.6,576.2,355.4,3178.3,365.5
85.4,110.1,74.6,49.5,17.6,158,19.1,140.2,180.8,154.8,90.8,32.2,274.3,33.1,216.8,279.5,189.3,125.7,44.6,401.2,48.5,1069.7,1379.1,1181.4,693.1,245.9,2092.8,252.9
63.9,82.3,64.9,24.6,15.3,125.7,16.6,104.8,135.2,134.7,45.1,28,218.1,28.8,162.1,209,164.7,62.4,38.8,319.1,42.2,799.9,1031.2,1028,344,213.9,1664.3,220.1
73.4,94.6,66.2,17.6,15.6,133.3,17,120.4,155.3,137.6,32.3,28.6,231.3,29.4,186.2,240.1,168.1,44.8,39.6,338.3,43.1,918.8,1184.5,1049.5,246.8,218.4,1764.6,224.6
30.2,38.9,31.3,12.6,7.4,59.1,8,49.6,63.9,64.9,23.1,13.5,102.5,13.9,76.7,98.9,79.4,32,18.7,149.9,20.3,378.4,487.8,495.4,176.4,103.1,782.1,106.1
24.2,31.2,25.6,3.5,6,48.5,6.5,39.7,51.1,53.1,6.5,11,84.1,11.4,61.4,79.1,64.9,8.9,15.3,123,16.6,302.7,390.2,404.9,49.2,84.3,641.7,86.7
15.4,19.9,15.1,6.3,3.6,30.4,3.9,25.3,32.7,31.4,11.5,6.5,52.8,6.7,39.2,50.5,38.4,15.9,9,77.2,9.8,193.3,249.3,239.7,87.7,49.9,402.8,51.3
3.9,5,6.1,13.3,1.4,10.6,1.6,6.4,8.2,12.7,24.4,2.6,18.4,2.7,9.9,12.7,15.5,33.7,3.7,26.9,4,48.7,62.7,96.7,185.8,20.1,140.1,20.7
10.8,13.9,14.9,21.9,3.5,28,3.8,17.8,22.9,31,40.1,6.5,48.7,6.6,27.5,35.4,37.9,55.5,8.9,71.2,9.7,135.5,174.7,236.5,306.2,49.2,371.2,50.6
20.3,26.2,27.8,40.8,6.6,57,7.1,33.4,43,57.8,74.8,12,98.9,12.4,51.6,66.5,70.6,103.5,16.6,144.6,18.1,254.5,328.1,440.7,570.7,91.7,754.4,94.3
38.1,49.1,46.2,74,10.9,101.4,11.8,62.6,80.7,95.9,135.8,20,175.9,20.5,96.7,124.7,117.2,188,27.6,257.3,30,477.3,615.3,731.8,1036.4,152.3,1342.1,156.6
72,92.9,83.2,103.4,19.6,184.6,21.3,118.2,152.4,172.8,189.7,36,320.4,37,182.8,235.7,211.2,262.5,49.8,468.6,54.1,902,1162.8,1318.6,1447.3,274.4,2444.6,282.2
126.9,163.6,132.9,132.3,31.3,295.8,34.1,208.3,268.5,276.1,242.8,57.5,513.4,59.1,322.1,415.3,337.4,335.9,79.5,750.9,86.4,1589.2,2048.7,2106.4,1852.3,438.4,3916.8,450.9
172.2,222.1,176.4,171.2,41.6,395.7,45.2,282.7,364.5,366.3,314.1,76.2,686.7,78.4,437.2,563.7,447.8,434.6,105.5,1004.3,114.7,2157.1,2780.9,2795.1,2396.1,581.7,5239,598.3
228.3,294.3,224.7,183,52.9,508,57.6,374.7,483,466.7,335.7,97.1,881.6,99.9,579.4,747,570.4,464.5,134.4,1289.4,146.1,2858.6,3685.2,3560.5,2561.4,741,6726,762.1
283.9,366,264.7,191.8,62.4,612,67.8,466,600.8,549.8,351.8,114.4,1062.1,117.7,720.7,929.1,672,486.8,158.3,1553.5,172.1,3555.4,4583.6,4194.8,2684.1,873,8103.7,897.9
291.5,375.8,273.8,202.5,64.5,635.4,70.1,478.5,616.9,568.6,371.4,118.3,1102.7,121.7,740.1,954.1,695,513.9,163.7,1612.9,178,3651.2,4707,4338.2,2833.8,902.9,8413.4,928.6
305.3,393.6,286.9,226.2,67.6,665.7,73.5,501.2,646.1,595.9,414.9,124,1155.3,127.6,775.1,999.2,728.3,574.1,171.6,1689.9,186.6,3824,4929.8,4546.4,3165.5,946.2,8814.8,973.2
323.3,416.7,306.7,212.7,72.3,714.7,78.6,530.6,684,637,390.2,132.6,1240.4,136.3,820.6,1057.9,778.5,539.9,183.4,1814.2,199.4,4048.3,5219,4859.8,2977.1,1011.4,9463.7,1040.3
355.1,457.7,319.2,233.1,75.2,761.3,81.8,582.8,751.4,663,427.6,138,1321.3,141.9,901.3,1162,810.3,591.6,190.9,1932.6,207.6,4446.8,5732.7,5058.1,3262.1,1052.7,10081,1082.7
332.7,429,310.2,236.2,73.1,744.1,79.5,546.2,704.1,644.3,433.3,134.1,1291.4,137.9,844.7,1088.9,787.5,599.5,185.5,1888.9,201.7,4167.3,5372.4,4915.6,3305.6,1023,9852.9,1052.2
375.7,484.4,347.1,203.3,81.8,820.6,88.9,616.8,795.1,720.9,372.9,150,1424.1,154.3,953.8,1229.6,881.1,515.9,207.6,2083,225.7,4705.7,6066.5,5500.3,2844.9,1144.7,10865.4,1177.4
375.4,483.9,329.5,167.8,77.6,774.4,84.4,616.2,794.3,684.4,307.8,142.4,1344,146.5,952.9,1228.4,836.4,425.9,197.1,1965.8,214.3,4701.1,6060.6,5221.3,2348.4,1086.7,10254.2,1117.7
321.4,414.4,273.4,135.8,64.4,633.8,70,527.6,680.1,567.8,249.1,118.2,1099.9,121.5,815.9,1051.8,694,344.7,163.5,1608.8,177.8,4025.3,5189.3,4332.3,1900.6,901.6,8391.8,927.4
261.3,336.8,225.3,97,53.1,505.2,57.7,428.8,552.8,467.8,178,97.4,876.7,100.1,663.2,855,571.8,246.2,134.7,1282.3,146.5,3271.9,4218,3569.5,1357.8,742.9,6689.1,764.1
206.4,266.1,180.4,54.4,42.5,387.3,46.2,338.8,436.7,374.6,99.9,78,672.2,80.2,523.9,675.4,457.9,138.2,107.9,983.3,117.3,2584.6,3332,2858.3,762,594.9,5129,611.8
139,179.2,126.4,23.4,29.8,255.2,32.4,228.1,294.1,262.5,42.9,54.6,442.9,56.2,352.8,454.8,320.8,59.4,75.6,647.9,82.2,1740.6,2244,2002.7,327.4,416.8,3379.4,428.7
73,94.2,66.2,16.7,15.6,130.2,17,119.9,154.6,137.5,30.7,28.6,226,29.4,185.4,239,168,42.5,39.6,330.5,43,914.8,1179.3,1048.7,234.4,218.3,1724.2,224.5
29.7,38.2,31.1,12,7.3,57.6,8,48.7,62.8,64.6,22.1,13.4,100,13.8,75.3,97.1,79,30.6,18.6,146.3,20.2,371.5,479,493,168.5,102.6,763.3,105.5
23.5,30.3,25.3,3.4,6,46.8,6.5,38.6,49.8,52.5,6.2,10.9,81.2,11.2,59.7,77,64.2,8.5,15.1,118.8,16.4,294.5,379.7,400.7,47,83.4,619.6,85.8
14.9,19.2,14.9,6,3.5,29,3.8,24.4,31.5,31,11,6.4,50.4,6.6,37.8,48.7,37.8,15.2,8.9,73.7,9.7,186.5,240.4,236.2,84,49.2,384.6,50.6
3.7,4.8,6,12.8,1.4,10,1.5,6.1,7.9,12.5,23.6,2.6,17.4,2.7,9.5,12.2,15.2,32.6,3.6,25.5,3.9,46.7,60.2,95.2,179.7,19.8,132.9,20.4
10.3,13.3,14.7,21.3,3.5,26.9,3.8,16.9,21.8,30.5,39.1,6.3,46.6,6.5,26.1,33.7,37.2,54.1,8.8,68.2,9.5,128.9,166.1,232.5,298.5,48.4,355.6,49.8
19.3,24.8,27.4,39.9,6.4,54.8,7,31.6,40.7,56.8,73.2,11.8,95.1,12.2,48.9,63,69.5,101.3,16.4,139.1,17.8,241.1,310.9,433.7,558.5,90.3,725.8,92.8
36.6,47.1,45.4,72,10.7,98.6,11.6,60,77.4,94.2,132.1,19.6,171.1,20.2,92.8,119.7,115.2,182.7,27.1,250.2,29.5,457.9,590.4,719.1,1007.6,149.7,1305.3,153.9
68.9,88.9,81.7,100.2,19.3,182.5,20.9,113.2,145.9,169.7,183.9,35.3,316.7,36.3,175,225.6,207.4,254.4,48.9,463.2,53.1,863.5,1113.2,1294.9,1402.8,269.5,2416.4,277.2
121.4,156.5,130.9,129.1,30.9,297.5,33.5,199.2,256.9,272,236.9,56.6,516.4,58.2,308.1,397.2,332.4,327.7,78.3,755.3,85.2,1520.2,1959.8,2075,1807.1,431.9,3939.9,444.2
164.9,212.6,174.5,167.7,41.1,401.2,44.7,270.7,349,362.3,307.7,75.4,696.3,77.6,418.6,539.7,442.9,425.7,104.3,1018.4,113.4,2065.2,2662.5,2764.5,2347.3,575.3,5312.2,591.8
218.4,281.6,221.2,179.5,52.1,520.2,56.7,358.5,462.2,459.4,329.2,95.6,902.8,98.3,554.4,714.8,561.5,455.6,132.3,1320.5,143.8,2735.4,3526.4,3505.4,2512,729.5,6888.3,750.3
270.7,349,259.6,187.6,61.2,628.4,66.5,444.4,572.9,539.2,344.1,112.2,1090.7,115.4,687.2,886,659,476.1,155.3,1595.2,168.8,3390.6,4371.1,4113.9,2625.2,856.2,8321.3,880.6
279.3,360.1,268.1,197.7,63.2,650.1,68.7,458.4,591,556.9,362.7,115.9,1128.3,119.2,709,914,680.7,501.8,160.4,1650.3,174.4,3497.7,4509.2,4249,2767.1,884.3,8608.5,909.5
291.5,375.8,280.4,220.8,66.1,676.7,71.8,478.5,616.9,582.4,405.1,121.2,1174.5,124.7,740,954,711.8,560.6,167.7,1717.8,182.3,3650.9,4706.7,4443.4,3091.1,924.8,8960.7,951.1
307.1,395.9,298,208.8,70.2,721.8,76.3,504,649.8,618.8,383.1,128.8,1252.7,132.5,779.5,1004.9,756.3,530.1,178.2,1832.2,193.7,3845.7,4957.7,4721.4,2922.9,982.6,9557.6,1010.6
336.4,433.6,310,231.1,73,772.7,79.4,552.1,711.8,643.8,424.1,134,1341.1,137.8,853.9,1100.8,786.9,586.8,185.4,1961.5,201.6,4212.6,5430.8,4912.1,3235.4,1022.3,10231.9,1051.5
317.5,409.3,302.6,234.6,71.3,753.1,77.5,521.1,671.8,628.5,430.4,130.8,1307,134.5,805.9,1038.9,768.1,595.6,181,1911.7,196.8,3976,5125.7,4795,3284,997.9,9971.8,1026.4
358,461.5,341.6,202.1,80.5,840.1,87.5,587.6,757.5,709.6,370.7,147.7,1458.1,151.9,908.7,1171.5,867.2,513,204.3,2132.7,222.2,4483.2,5779.7,5413.7,2828.5,1126.7,11124.6,1158.8
361.5,466.1,328.4,166.6,77.4,794.4,84.1,593.5,765.1,682.1,305.6,142,1378.7,146,917.8,1183.2,833.7,422.9,196.4,2016.6,213.6,4527.8,5837.2,5204.4,2332,1083.1,10519.1,1114
312.3,402.7,271.4,134,63.9,650.6,69.5,512.7,660.9,563.6,245.8,117.3,1129.2,120.6,792.9,1022.1,688.8,340.1,162.3,1651.6,176.4,3911.6,5042.8,4299.9,1875.5,894.9,8615.4,920.4
253.5,326.8,220.6,94.9,52,515,56.5,416.1,536.4,458.2,174,95.4,893.7,98.1,643.5,829.6,560,240.8,131.9,1307.2,143.5,3174.7,4092.8,3495.8,1327.8,727.5,6818.7,748.3
200.2,258.1,174.7,28.3,41.2,392.7,44.7,328.6,423.7,362.8,51.9,75.5,681.6,77.7,508.2,655.2,443.4,71.8,104.5,996.9,113.6,2507.3,3232.3,2767.8,395.7,576,5200.1,592.5
131.1,169,108.1,13.6,25.5,237.2,27.7,215.2,277.4,224.6,24.9,46.7,411.7,48.1,332.8,429,274.5,34.4,64.7,602.1,70.3,1641.7,2116.4,1713.4,189.8,356.6,3140.9,366.8
31.8,41,29.6,6.7,7,59.4,7.6,52.2,67.3,61.4,12.4,12.8,103,13.1,80.8,104.1,75,17.1,17.7,150.7,19.2,398.4,513.6,468.3,94.5,97.5,785.9,100.2
19.5,25.2,18.2,7.2,4.3,36.4,4.7,32.1,41.4,37.8,13.3,7.9,63.1,8.1,49.6,64,46.2,18.4,10.9,92.4,11.8,244.8,315.6,288.4,101.4,60,481.8,61.7
9.7,12.5,11,4.3,2.6,20.8,2.8,15.9,20.5,22.9,8,4.8,36.1,4.9,24.6,31.7,28,11,6.6,52.7,7.2,121.4,156.5,175.1,60.9,36.4,275.2,37.5
10.9,14,11.3,14.3,2.7,23,2.9,17.9,23.1,23.5,26.2,4.9,40,5,27.7,35.6,28.8,36.2,6.8,58.5,7.4,136.4,175.9,179.6,199.7,37.4,305.1,38.4
8,10.3,13.5,38.1,3.2,24,3.5,13.1,16.9,28,69.8,5.8,41.6,6,20.3,26.1,34.2,96.6,8.1,60.9,8.8,100,128.9,213.5,532.9,44.4,317.6,45.7
28.2,36.4,41.4,71.3,9.8,79.9,10.6,46.4,59.8,86,130.9,17.9,138.7,18.4,71.7,92.4,105.2,181.1,24.8,202.9,26.9,353.7,455.9,656.5,998.4,136.6,1058.5,140.5
64.4,83.1,87.4,84.3,20.6,183.4,22.4,105.8,136.4,181.5,154.6,37.8,318.3,38.9,163.6,210.9,221.8,213.9,52.3,465.5,56.8,807.1,1040.5,1384.9,1179.6,288.2,2428.3,296.4
123.7,159.4,129.5,81.5,30.5,297.4,33.2,203,261.7,269,149.5,56,516.1,57.6,314,404.8,328.8,206.8,77.5,754.9,84.2,1549,1996.9,2052.3,1140.5,427.1,3937.5,439.3
143.8,185.3,137.8,90.8,32.5,319.1,35.3,236,304.2,286.2,166.6,59.6,553.8,61.3,364.9,470.4,349.8,230.5,82.4,810,89.6,1800.3,2320.9,2183.6,1270.9,454.4,4225.4,467.4
142.8,184.1,137.3,111.4,32.4,308.1,35.2,234.4,302.2,285.2,204.4,59.3,534.7,61,362.5,467.3,348.5,282.9,82.1,782.1,89.3,1788.4,2305.6,2175.7,1559.8,452.8,4079.8,465.7
164.4,211.9,160.4,130.4,37.8,358.2,41.1,269.8,347.8,333,239.2,69.3,621.7,71.3,417.2,537.8,407.1,331,95.9,909.3,104.3,2058.3,2653.5,2541,1825.3,528.8,4743,543.9
203.3,262,192.6,134.6,45.4,437.5,49.3,333.6,430.1,399.9,246.9,83.2,759.3,85.6,516,665.2,488.8,341.6,115.2,1110.5,125.2,2545.5,3281.6,3051.3,1883.8,635,5792.8,653.1
229.5,295.9,211.9,152.2,49.9,488.5,54.3,376.8,485.7,440.1,279.2,91.6,847.9,94.2,582.7,751.2,537.9,386.3,126.7,1240.1,137.8,2874.7,3706.1,3358.1,2130.1,698.9,6468.8,718.8
235,302.9,221.7,202.6,52.2,508.3,56.8,385.7,497.3,460.4,371.6,95.8,882.2,98.6,596.5,769,562.7,514.2,132.6,1290.4,144.1,2942.9,3793.9,3512.8,2835.2,731.1,6731.2,751.9
275.6,355.3,269.8,266.9,63.6,606.2,69.1,452.4,583.2,560.4,489.6,116.6,1052.1,120,699.7,902,685,677.5,161.4,1538.9,175.5,3451.8,4450,4275.9,3735.6,889.9,8027.2,915.3
370.4,477.5,361,317.1,85.1,818.6,92.5,608,783.8,749.9,581.7,156.1,1420.8,160.5,940.2,1212.1,916.5,804.9,215.9,2078.1,234.8,4638.5,5979.9,5721.1,4438.3,1190.7,10839.8,1224.6
475.5,613,450.3,254.4,106.1,1047,115.4,780.5,1006.2,935.2,466.7,194.6,1817,200.2,1207.1,1556.1,1143.1,645.8,269.3,2657.7,292.8,5955.1,7677.2,7135.6,3560.7,1485,13863.4,1527.4
528.4,681.2,463.3,148.7,109.2,1137,118.7,867.3,1118.1,962.3,272.8,200.3,1973.2,206,1341.2,1729.1,1176.2,377.4,277.1,2886.1,301.3,6617.1,8530.6,7342.2,2081.2,1528,15054.9,1571.6
386.8,498.7,333.7,107.4,78.6,821.1,85.5,634.9,818.5,693.1,197,144.2,1425,148.4,981.9,1265.9,847.1,272.6,199.6,2084.2,217,4844.4,6245.2,5287.7,1503.3,1100.5,10871.9,1131.9
220.3,284,195.6,83.2,46.1,463,50.1,361.6,466.2,406.3,152.6,84.6,803.5,87,559.2,720.9,496.6,211.1,117,1175.3,127.2,2759,3556.8,3100.3,1164,645.2,6130.7,663.6
173.4,223.5,148.4,56.2,35,348.4,38,284.6,366.9,308.1,103.1,64.1,604.6,66,440.1,567.4,376.6,142.6,88.7,884.3,96.5,2171.4,2799.3,2350.9,786.4,489.3,4612.9,503.2
132.7,171.1,109.3,39.3,25.8,255.9,28,217.8,280.8,227.1,72.1,47.3,444.2,48.6,336.8,434.2,277.5,99.7,65.4,649.7,71.1,1661.8,2142.4,1732.5,549.9,360.6,3389.1,370.9
87,112.2,74.2,22.9,17.5,167.1,19,142.8,184.1,154.1,42.1,32.1,290,33,220.8,284.7,188.4,58.2,44.4,424.2,48.3,1089.5,1404.6,1176.1,320.9,244.8,2212.6,251.7
60,77.3,51.9,14.2,12.2,112.4,13.3,98.5,126.9,107.8,26,22.4,195.1,23.1,152.3,196.3,131.8,36,31.1,285.4,33.8,751.2,968.4,822.8,198.5,171.2,1488.8,176.1
33.2,42.8,30.1,7,7.1,62.7,7.7,54.5,70.3,62.6,12.9,13,108.8,13.4,84.3,108.7,76.5,17.9,18,159.2,19.6,415.8,536.1,477.3,98.5,99.3,830.2,102.2
20.4,26.2,18.5,7.5,4.4,38.5,4.7,33.4,43.1,38.4,13.8,8,66.8,8.2,51.7,66.6,46.9,19.1,11,97.6,12,254.9,328.6,292.7,105.6,60.9,509.3,62.6
10.1,13,11.1,4.5,2.6,21.9,2.9,16.6,21.4,23.1,8.3,4.8,38.1,5,25.6,33,28.3,11.5,6.7,55.7,7.2,126.4,162.9,176.6,63.6,36.7,290.4,37.8
11.3,14.6,11.3,14.8,2.7,24.2,2.9,18.6,24,23.5,27.2,4.9,42,5,28.8,37.1,28.7,37.6,6.8,61.4,7.4,142.1,183.2,179.4,207.3,37.3,320.1,38.4
8.3,10.7,13.4,39.5,3.2,25.1,3.4,13.6,17.5,27.8,72.5,5.8,43.6,6,21,27.1,34,100.4,8,63.8,8.7,103.5,133.5,212.4,553.5,44.2,332.8,45.5
29.4,38,41.4,73.3,9.8,83.2,10.6,48.3,62.3,86,134.5,17.9,144.5,18.4,74.7,96.4,105.1,186.1,24.8,211.3,26.9,368.8,475.4,656.4,1026.3,136.6,1102.3,140.5
66.3,85.4,87.5,86.1,20.6,189.5,22.4,108.8,140.2,181.8,158,37.8,328.9,38.9,168.2,216.9,222.2,218.6,52.3,481.1,56.9,829.9,1069.9,1386.8,1205.3,288.6,2509.4,296.8
126.5,163.1,130,82.9,30.6,302.5,33.3,207.7,267.8,269.9,152.2,56.2,525.1,57.8,321.2,414.1,329.9,210.5,77.7,768,84.5,1584.7,2042.9,2059.4,1160.9,428.6,4006.1,440.8
144.1,185.8,138.1,91.7,32.5,319.7,35.4,236.6,305,286.7,168.3,59.7,554.8,61.4,365.9,471.7,350.4,232.9,82.6,811.5,89.8,1805.1,2327,2187.6,1284.1,455.3,4232.8,468.3
142.5,183.7,137.8,111.4,32.5,305.6,35.3,234,301.6,286.1,204.4,59.5,530.3,61.2,361.8,466.4,349.7,282.9,82.4,775.7,89.6,1785,2301.2,2182.9,1559.7,454.3,4046.2,467.3
164.1,211.6,160.9,130.4,37.9,352.3,41.2,269.4,347.4,334.2,239.3,69.5,611.4,71.5,416.7,537.2,408.4,331.1,96.2,894.3,104.6,2055.7,2650.2,2549.6,1825.7,530.6,4665.1,545.7
203.2,262,192,135,45.2,427.4,49.2,333.6,430,398.8,247.6,83,741.8,85.4,515.9,665,487.4,342.7,114.8,1085,124.9,2545,3281,3042.6,1889.4,633.2,5659.7,651.3
229.3,295.6,209.8,152.4,49.4,476,53.7,376.3,485.1,435.7,279.5,90.7,826.2,93.3,582,750.3,532.6,386.8,125.5,1208.4,136.4,2871.2,3701.5,3324.4,2132.6,691.9,6303.4,711.6
235.4,303.4,218.8,203.2,51.6,493.3,56.1,386.3,498,454.5,372.8,94.6,856.2,97.3,597.4,770.2,555.5,515.9,130.9,1252.3,142.3,2947.5,3799.9,3467.5,2844.5,721.7,6532.4,742.2
275.4,355,265.6,266.6,62.6,586.9,68,452,582.7,551.7,489.2,114.8,1018.6,118.1,699,901.2,674.2,676.9,158.9,1489.9,172.7,3448.7,4446,4208.9,3732.3,875.9,7771.6,900.9
370.6,477.8,354.9,318.9,83.6,790.6,90.9,608.4,784.3,737,585.1,153.4,1372.1,157.8,940.9,1212.9,900.8,809.6,212.2,2006.8,230.8,4641.8,5984.1,5623.3,4464.3,1170.3,10468.3,1203.7
477.9,616.1,444.9,254.1,104.8,1010,114,784.4,1011.3,923.9,466.2,192.3,1752.9,197.8,1213.1,1563.9,1129.3,645.1,266.1,2563.9,289.3,5985,7715.7,7049.3,3557.2,1467.1,13374.2,1508.9
530.7,684.2,456.7,148.6,107.6,1102.1,117,871.1,1123.1,948.6,272.6,197.4,1912.8,203,1347.2,1736.8,1159.3,377.2,273.2,2797.7,297,6646.5,8568.5,7237.1,2079.8,1506.2,14593.7,1549.1
388.2,500.4,328.3,107.6,77.3,796.8,84.1,637.1,821.4,681.8,197.4,141.9,1382.9,145.9,985.3,1270.2,833.3,273.2,196.3,2022.7,213.5,4861.1,6266.8,5201.8,1506.2,1082.6,10550.9,1113.5
220.5,284.2,194.2,83.4,45.8,448.1,49.8,361.9,466.5,403.4,153.1,83.9,777.7,86.3,559.6,721.4,493,211.8,116.2,1137.5,126.3,2760.9,3559.3,3077.5,1167.8,640.5,5933.7,658.8
174,224.4,147.6,57,34.8,340.3,37.8,285.7,368.3,306.6,104.5,63.8,590.6,65.6,441.8,569.6,374.7,144.6,88.3,863.8,96,2179.7,2810.1,2339.3,797.2,486.9,4505.8,500.7
133.4,171.9,108.9,40,25.7,250.5,27.9,218.9,282.2,226.2,73.3,47.1,434.7,48.4,338.5,436.4,276.5,101.5,65.1,635.8,70.8,1670.1,2153,1725.9,559.5,359.2,3316.7,369.4
87.5,112.7,73.9,23.3,17.4,164.3,18.9,143.6,185.1,153.4,42.7,31.9,285.1,32.8,222,286.2,187.5,59,44.2,417,48,1095.3,1412,1170.6,325.5,243.6,2175.4,250.6
60.2,77.6,51.3,14.5,12.1,111.4,13.1,98.8,127.4,106.5,26.5,22.2,193.3,22.8,152.9,197.1,130.1,36.7,30.7,282.7,33.3,754.1,972.2,812.4,202.3,169.1,1474.6,173.9
33.2,42.9,29.5,7.2,7,61.9,7.6,54.6,70.4,61.3,13.2,12.8,107.5,13.1,84.4,108.8,74.9,18.2,17.6,157.2,19.2,416.4,536.8,467.5,100.4,97.3,819.8,100.1
20.4,26.3,17.9,7.6,4.2,37.9,4.6,33.5,43.2,37.2,14,7.7,65.7,8,51.9,66.9,45.5,19.4,10.7,96.1,11.6,255.9,329.8,283.7,106.8,59.1,501.4,60.7
10.2,13.2,10.7,4.6,2.5,21.5,2.7,16.8,21.6,22.3,8.5,4.6,37.4,4.8,25.9,33.4,27.2,11.8,6.4,54.7,7,127.8,164.8,169.9,64.8,35.4,285.3,36.4
11.6,15,10.8,15,2.6,23.8,2.8,19.1,24.6,22.5,27.5,4.7,41.3,4.8,29.5,38,27.5,38.1,6.5,60.4,7.1,145.6,187.7,171.9,210.1,35.8,315,36.8
8.6,11.1,12.8,40,3,24.6,3.3,14.2,18.3,26.7,73.4,5.6,42.7,5.7,21.9,28.2,32.6,101.6,7.7,62.4,8.3,108.1,139.3,203.5,560,42.3,325.5,43.6
30.4,39.3,39.5,74.4,9.3,82,10.1,50,64.4,82.1,136.5,17.1,142.2,17.6,77.3,99.6,100.4,188.8,23.7,208,25.7,381.3,491.6,626.6,1041.2,130.4,1085.2,134.1
68.8,88.7,83.9,86.7,19.8,187.8,21.5,112.9,145.5,174.2,159.1,36.3,325.9,37.3,174.6,225.1,213,220.2,50.2,476.6,54.6,861.3,1110.4,1329.5,1214.2,276.7,2486.4,284.6
128.3,165.5,126.6,83.2,29.8,301.1,32.4,210.7,271.6,263,152.6,54.7,522.6,56.3,325.8,420,321.5,211.2,75.7,764.5,82.3,1607.3,2072.1,2006.7,1164.3,417.6,3987.6,429.6
145.7,187.8,134.8,91.8,31.8,318.6,34.5,239.1,308.2,280.1,168.5,58.3,553,59.9,369.7,476.7,342.3,233.1,80.6,808.9,87.7,1824.1,2351.6,2136.8,1285.4,444.7,4219.3,457.4
143.8,185.3,134.5,110.9,31.7,305.2,34.5,236,304.2,279.4,203.5,58.1,529.7,59.8,365,470.5,341.4,281.6,80.4,774.8,87.5,1800.6,2321.3,2131.5,1552.5,443.6,4041.6,456.3
