ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting
2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045,2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045
moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high,high,high,high,high,high,high,high,high,high,high,high
CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV
169.3,218.3,138.1,41.9,32.5,339.5,35.4,277.9,358.3,286.8,76.9,59.7,589.2,61.4,429.8,554.1,350.5,106.5,82.6,861.7,89.8,2120.5,2733.7,2187.8,587.1,455.3,4495.1,468.3
106.2,136.9,86.2,18.1,20.3,221.4,22.1,174.3,224.7,179,33.3,37.2,384.2,38.3,269.5,347.5,218.7,46,51.5,562,56,1329.8,1714.3,1365.5,253.7,284.2,2931.6,292.3
48.2,62.1,42,13,9.9,111.1,10.8,79.1,101.9,87.3,23.9,18.2,192.8,18.7,122.3,157.6,106.7,33,25.1,282.1,27.3,603.3,777.8,665.9,182.2,138.6,1471.3,142.5
18.5,23.9,19,9.5,4.5,48.9,4.9,30.4,39.2,39.5,17.4,8.2,84.9,8.5,47.1,60.7,48.3,24,11.4,124.2,12.4,232.2,299.3,301.5,132.4,62.8,648,64.5
14.2,18.4,15.1,2.7,3.6,39.6,3.9,23.4,30.2,31.3,4.9,6.5,68.8,6.7,36.2,46.6,38.3,6.8,9,100.6,9.8,178.5,230.1,239.1,37.3,49.8,524.7,51.2
9.1,11.7,8.9,4.7,2.1,24.7,2.3,14.9,19.3,18.4,8.7,3.8,42.8,3.9,23.1,29.8,22.5,12,5.3,62.6,5.8,114.1,147,140.5,66.2,29.2,326.7,30.1
2.3,2.9,3.6,9.9,0.8,8.5,0.9,3.7,4.8,7.5,18.2,1.6,14.7,1.6,5.8,7.5,9.1,25.1,2.1,21.6,2.3,28.6,36.9,56.9,138.7,11.8,112.4,12.2
6.3,8.2,8.4,16.9,2,22.4,2.1,10.4,13.4,17.4,30.9,3.6,38.9,3.7,16.1,20.8,21.2,42.8,5,56.8,5.4,79.5,102.5,132.4,236.1,27.6,296.4,28.3
11.7,15.1,16,30.6,3.8,45.3,4.1,19.3,24.8,33.3,56.1,6.9,78.6,7.1,29.8,38.4,40.7,77.6,9.6,115,10.4,146.9,189.3,253.8,428.1,52.8,600,54.3
23.8,30.7,30.8,54,7.2,82.8,7.9,39,50.3,63.9,99.1,13.3,143.7,13.7,60.4,77.8,78.1,137.1,18.4,210.1,20,297.8,383.9,487.4,756,101.4,1096.1,104.3
47.5,61.3,59.6,76.3,14.1,153.4,15.3,78,100.6,123.9,140.1,25.8,266.2,26.5,120.6,155.5,151.4,193.8,35.7,389.3,38.8,595.2,767.3,945.1,1068.6,196.7,2030.8,202.3
87.9,113.4,93.6,98,22.1,250.5,24,144.3,186.1,194.5,179.8,40.5,434.7,41.6,223.2,287.8,237.7,248.7,56,635.8,60.9,1101.3,1419.8,1483.8,1371.6,308.8,3316.5,317.6
120.6,155.5,130.6,126.3,30.8,341.7,33.5,198,255.2,271.2,231.6,56.4,593,58.1,306.2,394.7,331.5,320.5,78.1,867.3,84.9,1510.5,1947.2,2069.2,1767.3,430.6,4524.1,442.9
172.9,223,173.4,133.1,40.9,442.1,44.4,283.9,366,360.1,244.2,74.9,767.4,77.1,439,566,440.1,337.8,103.7,1122.4,112.7,2165.9,2792.2,2747.4,1862.8,571.8,5854.6,588.1
221.8,285.9,208.6,139.2,49.2,528.8,53.4,364,469.3,433.3,255.3,90.2,917.7,92.8,563,725.8,529.6,353.3,124.8,1342.2,135.7,2777.5,3580.7,3306.3,1948.2,688.1,7001.5,707.7
236,304.3,222.4,145.9,52.4,546,57,387.4,499.4,461.9,267.7,96.1,947.6,98.9,599.1,772.3,564.5,370.4,133,1386,144.6,2955.7,3810.5,3524,2042.5,733.4,7229.9,754.3
256.5,330.7,239.2,158.3,56.4,575.4,61.3,421.1,542.9,496.9,290.3,103.4,998.7,106.4,651.2,839.5,607.3,401.7,143.1,1460.7,155.6,3212.8,4141.9,3791,2215.1,789,7619.6,811.5
275.6,355.3,259.3,145,61.1,620,66.4,452.4,583.3,538.5,266.1,112.1,1076,115.3,699.7,902,658.2,368.2,155.1,1573.8,168.6,3451.8,4450,4108.7,2030.2,855.1,8209.4,879.5
301.5,388.7,268.3,174.9,63.2,655.9,68.7,494.9,638,557.2,320.8,116,1138.4,119.3,765.4,986.7,681,443.9,160.5,1665.1,174.5,3776,4868,4251.3,2447.6,884.8,8685.7,910
287.1,370.2,270.7,182.4,63.8,660.2,69.3,471.3,607.6,562.2,334.7,117,1145.8,120.3,728.9,939.7,687.1,463.1,161.9,1675.8,176,3596.1,4636,4289.3,2553.8,892.7,8741.7,918.2
351.1,452.6,303.9,159.4,71.6,764.9,77.9,576.3,743,631.2,292.3,131.4,1327.4,135.1,891.2,1149,771.5,404.5,181.8,1941.6,197.6,4397,5668.6,4816.1,2230.5,1002.3,10127.9,1030.9
335.6,432.7,279.2,136.7,65.8,719.4,71.5,550.9,710.2,579.9,250.8,120.7,1248.6,124.1,851.9,1098.3,708.7,347,167,1826.3,181.6,4203,5418.5,4424.3,1913.5,920.8,9526.4,947.1
280.8,362,231.5,109.7,54.6,600.3,59.3,460.9,594.1,480.9,201.2,100.1,1041.9,102.9,712.7,918.8,587.7,278.4,138.5,1523.9,150.6,3516.3,4533.1,3668.8,1535.3,763.5,7949.1,785.3
232.7,300,186,76.6,43.8,488.5,47.6,381.9,492.4,386.2,140.6,80.4,847.8,82.7,590.7,761.5,472.1,194.6,111.2,1240,120.9,2914,3756.7,2946.9,1072.8,613.3,6468.2,630.8
173.6,223.9,137.1,23.3,32.3,362,35.1,285,367.5,284.7,42.7,59.3,628.3,61,440.8,568.3,348,59.1,82,919,89.2,2174.7,2803.5,2172.5,326.1,452.1,4794,465
103.2,133,77.3,11,18.2,215.4,19.8,169.4,218.4,160.6,20.1,33.4,373.8,34.4,262,337.7,196.3,27.9,46.2,546.8,50.3,1292.4,1666.1,1225.1,153.6,255,2852.3,262.2
21.6,27.9,20,5.5,4.7,53,5.1,35.5,45.8,41.5,10.1,8.6,91.9,8.9,54.9,70.8,50.8,14,12,134.5,13,271,349.4,316.9,77.2,66,701.4,67.8
12.5,16.1,11.8,6,2.8,32,3,20.5,26.5,24.5,10.9,5.1,55.6,5.2,31.8,40.9,30,15.1,7.1,81.3,7.7,156.7,202,187,83.5,38.9,424,40
6.1,7.9,7.1,3.6,1.7,18.3,1.8,10,12.9,14.7,6.6,3.1,31.7,3.1,15.5,20,18,9.2,4.2,46.4,4.6,76.5,98.7,112.3,50.5,23.4,242.1,24
6.9,8.8,7.2,11.6,1.7,19.8,1.8,11.3,14.5,15,21.2,3.1,34.3,3.2,17.4,22.5,18.3,29.3,4.3,50.2,4.7,86,110.8,114.1,161.8,23.7,261.8,24.4
5.1,6.6,8.7,29.9,2,20.1,2.2,8.4,10.8,18,54.9,3.7,34.8,3.9,12.9,16.7,22,76,5.2,51,5.6,63.8,82.2,137.3,418.9,28.6,265.8,29.4
18.4,23.8,25.9,56,6.1,66.2,6.6,30.3,39,53.8,102.7,11.2,115,11.5,46.8,60.3,65.7,142,15.5,168.1,16.8,230.9,297.7,410.4,783.2,85.4,877,87.9
40.5,52.3,58.5,66.3,13.8,156.3,15,66.6,85.8,121.5,121.6,25.3,271.3,26,102.9,132.7,148.5,168.3,35,396.9,38,507.8,654.7,927,928.1,192.9,2070.2,198.4
83.1,107.2,93.9,64.4,22.1,256.1,24,136.5,176,194.9,118.2,40.6,444.5,41.7,211.1,272.1,238.3,163.6,56.1,650.1,61,1041.3,1342.5,1487.3,901.9,309.5,3391.2,318.4
98.9,127.4,105.2,71.2,24.8,278,26.9,162.3,209.2,218.5,130.6,45.5,482.5,46.8,251,323.5,267,180.7,62.9,705.7,68.4,1238.1,1596.1,1666.9,996.4,346.9,3681.4,356.8
104.3,134.4,105.2,85.5,24.8,270,26.9,171.2,220.7,218.5,156.8,45.5,468.5,46.8,264.7,341.3,267.1,216.9,62.9,685.3,68.4,1306,1683.7,1667.1,1196.1,346.9,3574.8,356.8
118.8,153.2,125.6,100.7,29.6,309.2,32.2,195.1,251.5,260.8,184.8,54.3,536.5,55.8,301.7,388.9,318.8,255.7,75.1,784.8,81.7,1488.2,1918.6,1990.2,1409.7,414.2,4093.6,426
156.6,201.9,153.9,104.5,36.3,370.9,39.4,257.1,331.5,319.6,191.7,66.5,643.7,68.4,397.6,512.6,390.6,265.3,92,941.4,100.1,1961.6,2528.9,2438.2,1462.7,507.4,4910.9,521.9
183.1,236.1,172.6,116.6,40.7,411.4,44.2,300.6,387.6,358.4,213.8,74.6,714,76.7,464.9,599.4,438,295.9,103.2,1044.4,112.2,2293.7,2957,2734.3,1631.4,569.1,5447.8,585.3
193.4,249.4,182.4,154.9,43,428.3,46.7,317.5,409.4,378.9,284.1,78.9,743.2,81.1,491.1,633.1,463.1,393.1,109.1,1087.1,118.6,2422.7,3123.3,2890.9,2167.5,601.6,5670.6,618.8
225,290,217.4,200.5,51.2,506.8,55.7,369.2,476,451.5,367.7,94,879.6,96.6,571,736.2,551.8,508.8,130,1286.5,141.4,2817.2,3631.9,3444.6,2805.7,716.9,6710.9,737.3
304.2,392.2,293.4,238.4,69.1,688,75.2,499.4,643.8,609.4,437.4,126.8,1194,130.5,772.3,995.6,744.9,605.3,175.5,1746.4,190.8,3810,4911.8,4649.8,3337.5,967.7,9110,995.3
390.7,503.7,373.8,199.7,88.1,883.2,95.8,641.3,826.8,776.4,366.4,161.6,1532.8,166.2,991.8,1278.6,948.9,507,223.6,2241.9,243.1,4893.1,6308,5923.5,2795.7,1232.8,11694.7,1268
463.1,597,403.8,120.5,95.1,994.1,103.4,760.1,979.9,838.7,221.1,174.5,1725.4,179.5,1175.5,1515.4,1025.1,305.9,241.5,2523.6,262.6,5799.3,7476.3,6398.9,1686.8,1331.7,13163.9,1369.7
353.4,455.6,284.7,87.5,67.1,724.6,72.9,580.1,747.9,591.2,160.5,123,1257.6,126.6,897.1,1156.6,722.6,222.1,170.3,1839.4,185.1,4426.1,5706,4511,1224.9,938.8,9594.7,965.6
197.6,254.7,166.5,68.6,39.2,412.7,42.6,324.3,418,345.7,125.9,71.9,716.3,74,501.5,646.5,422.5,174.2,99.6,1047.7,108.2,2474.1,3189.5,2637.6,960.4,548.9,5465.2,564.6
149.9,193.3,127.8,47.7,30.1,319.7,32.7,246.1,317.3,265.4,87.4,55.2,554.8,56.8,380.6,490.7,324.4,121,76.4,811.5,83.1,1877.7,2420.7,2025.1,667.1,421.5,4233.2,433.5
114.8,148,92.3,33.2,21.8,236,23.6,188.5,243,191.7,61,39.9,409.6,41,291.5,375.8,234.4,84.4,55.2,599.1,60,1438.1,1854,1462.9,465.1,304.5,3125.1,313.2
74.1,95.5,59.7,18.4,14.1,152.8,15.3,121.6,156.8,124.1,33.8,25.8,265.2,26.6,188,242.4,151.7,46.7,35.7,387.9,38.9,927.8,1196,946.8,257.7,197,2023.2,202.7
47.6,61.4,38.7,11,9.1,99.9,9.9,78.1,100.7,80.4,20.2,16.7,173.3,17.2,120.8,155.7,98.2,28,23.1,253.5,25.2,596,768.4,613.2,154.2,127.6,1322.4,131.3
23.3,30,21.1,5.5,5,53.1,5.4,38.2,49.3,43.8,10.2,9.1,92.1,9.4,59.1,76.2,53.5,14.1,12.6,134.7,13.7,291.7,376,334.3,77.5,69.6,702.8,71.6
13.3,17.1,12.4,5.9,2.9,32.1,3.2,21.8,28.1,25.7,10.9,5.4,55.6,5.5,33.7,43.4,31.4,15.1,7.4,81.4,8.1,166.1,214.1,196.3,83.2,40.9,424.5,42
6.5,8.3,7.4,3.6,1.7,18.2,1.9,10.6,13.7,15.4,6.6,3.2,31.6,3.3,16.4,21.1,18.8,9.1,4.4,46.3,4.8,80.9,104.2,117.6,50.4,24.5,241.3,25.2
7.2,9.3,7.6,11.6,1.8,19.7,1.9,11.8,15.3,15.7,21.3,3.3,34.1,3.4,18.3,23.6,19.2,29.4,4.5,49.9,4.9,90.4,116.5,119.7,162.4,24.9,260.2,25.6
5.4,6.9,9.1,30.1,2.2,19.9,2.3,8.8,11.3,19,55.3,3.9,34.6,4.1,13.6,17.5,23.2,76.5,5.5,50.6,5.9,67.1,86.5,144.7,421.6,30.1,264.1,31
19.5,25.2,27.9,57.1,6.6,66.1,7.2,32.1,41.4,58,104.8,12.1,114.6,12.4,49.6,64,70.9,145,16.7,167.7,18.2,244.8,315.6,442.6,799.5,92.1,874.7,94.7
44.7,57.6,64.1,67.4,15.1,156.6,16.4,73.4,94.6,133.2,123.6,27.7,271.8,28.5,113.5,146.3,162.8,171,38.4,397.6,41.7,559.8,721.6,1016.4,943,211.5,2074,217.6
88.8,114.5,100.5,65.4,23.7,259.3,25.7,145.7,187.9,208.8,119.9,43.4,450,44.7,225.4,290.6,255.2,165.9,60.1,658.2,65.4,1112,1433.6,1592.8,915,331.5,3433.2,340.9
104.5,134.7,107.8,71.9,25.4,277.2,27.6,171.5,221.1,223.8,131.9,46.6,481.1,47.9,265.3,342,273.5,182.5,64.4,703.7,70.1,1308.8,1687.3,1707.5,1006.5,355.4,3670.6,365.5
107.4,138.4,107,86.3,25.2,269.9,27.4,176.3,227.2,222.3,158.3,46.3,468.4,47.6,272.6,351.4,271.7,219.1,64,685.1,69.6,1344.8,1733.6,1695.9,1208,352.9,3573.5,363
120.4,155.2,125.9,101.3,29.7,311.7,32.3,197.6,254.7,261.5,185.9,54.4,540.9,56,305.6,393.9,319.6,257.2,75.3,791.2,81.9,1507.5,1943.5,1995.2,1418.5,415.2,4127.2,427.1
158.3,204.1,152.6,105.1,36,378.3,39.1,259.8,335,317,192.7,66,656.5,67.9,401.8,518,387.4,266.7,91.3,960.2,99.2,1982.5,2555.8,2418.6,1470.4,503.3,5008.9,517.7
184.1,237.3,170.2,117.3,40.1,423.5,43.6,302.2,389.5,353.5,215.3,73.6,735,75.7,467.3,602.4,432.1,297.9,101.8,1075,110.7,2305.4,2972.1,2697.4,1642.5,561.4,5607.5,577.4
192.7,248.4,180.1,156.3,42.4,444.2,46.1,316.3,407.8,374.1,286.8,77.9,770.9,80.1,489.2,630.7,457.2,396.8,107.7,1127.6,117.1,2413.5,3111.4,2854.1,2188.1,594,5881.7,610.9
225,290.1,216.2,201.6,50.9,528.1,55.4,369.3,476.1,449.1,369.8,93.5,916.6,96.1,571.1,736.3,548.9,511.7,129.3,1340.7,140.6,2817.8,3632.7,3426.6,2821.8,713.1,6993.4,733.5
302.9,390.4,293,238.6,69,718.2,75.1,497.1,640.9,608.6,437.7,126.7,1246.4,130.3,768.8,991.1,743.9,605.6,175.3,1823.1,190.6,3792.9,4889.7,4643.5,3339.1,966.4,9509.8,994
385.6,497,375.3,199.9,88.4,911.2,96.1,632.9,815.9,779.4,366.8,162.2,1581.4,166.8,978.7,1261.7,952.6,507.5,224.5,2313.1,244,4828.6,6224.9,5946.8,2798.3,1237.6,12065.7,1273
458.4,590.9,407,120.6,95.9,1007,104.3,752.4,969.9,845.3,221.2,175.9,1747.7,180.9,1163.5,1500,1033.1,306.1,243.4,2556.2,264.6,5740.3,7400.3,6449.1,1687.6,1342.2,13334,1380.5
353.3,455.4,287.7,87.2,67.8,727.2,73.7,579.9,747.6,597.6,160.1,124.4,1262.1,127.9,896.8,1156.1,730.3,221.5,172.1,1846,187.1,4424.3,5703.7,4559.1,1221.2,948.8,9629.3,975.9
198.5,255.9,168.8,68.1,39.8,411.1,43.2,325.8,420.1,350.5,125,72.9,713.5,75,503.9,649.6,428.4,172.9,100.9,1043.6,109.7,2486.1,3205,2674.3,953.3,556.6,5443.9,572.4
152.2,196.2,129.9,47.2,30.6,317.4,33.3,249.8,322,269.8,86.6,56.2,550.9,57.8,386.3,498,329.8,119.8,77.7,805.8,84.5,1905.6,2456.7,2058.6,660.6,428.4,4203.4,440.7
116.6,150.3,94.4,33,22.2,233.8,24.2,191.4,246.8,196,60.5,40.8,405.8,42,296,381.6,239.6,83.8,56.5,593.5,61.4,1460.4,1882.7,1495.7,461.8,311.3,3095.7,320.2
75.4,97.2,61.6,18.5,14.5,150.6,15.8,123.8,159.6,128,33.9,26.6,261.3,27.4,191.4,246.8,156.4,46.9,36.9,382.2,40.1,944.5,1217.6,976.4,258.5,203.2,1993.5,209
49.6,63.9,39.8,11.1,9.4,99.3,10.2,81.4,104.9,82.8,20.4,17.2,172.3,17.7,125.8,162.2,101.1,28.2,23.8,252,25.9,620.8,800.3,631.4,155.7,131.4,1314.5,135.2
24.7,31.8,21.3,5.6,5,53.6,5.5,40.5,52.2,44.3,10.2,9.2,93.1,9.5,62.7,80.8,54.2,14.1,12.8,136.1,13.9,309.1,398.5,338.2,77.7,70.4,710,72.4
14,18,12.5,6,2.9,32.2,3.2,22.9,29.6,26,11,5.4,55.9,5.6,35.5,45.7,31.8,15.2,7.5,81.7,8.1,174.9,225.5,198.3,83.6,41.3,426.2,42.5
6.7,8.7,7.5,3.6,1.8,18.2,1.9,11.1,14.3,15.6,6.6,3.2,31.6,3.3,17.1,22.1,19,9.1,4.5,46.2,4.9,84.5,108.9,118.8,50.2,24.7,240.9,25.4
7.5,9.7,7.6,11.5,1.8,19.5,1.9,12.3,15.9,15.8,21.2,3.3,33.9,3.4,19.1,24.6,19.3,29.3,4.6,49.5,4.9,94.2,121.4,120.6,161.4,25.1,258.4,25.8
5.6,7.2,9.2,30.1,2.2,19.8,2.4,9.1,11.8,19.1,55.2,4,34.3,4.1,14.1,18.2,23.4,76.3,5.5,50.2,6,69.5,89.7,146,420.9,30.4,261.8,31.2
20.1,26,28.4,57.4,6.7,65.3,7.3,33.1,42.6,59,105.3,12.3,113.3,12.6,51.1,65.9,72.1,145.7,17,165.8,18.5,252.3,325.2,450.1,803.4,93.7,864.6,96.3
46,59.3,64.8,68.5,15.3,155,16.6,75.5,97.3,134.7,125.6,28,269.1,28.8,116.8,150.5,164.6,173.9,38.8,393.5,42.2,576.1,742.7,1027.6,958.7,213.9,2052.8,220
91.5,117.9,101.9,66.9,24,258.4,26.1,150.2,193.6,211.6,122.7,44,448.5,45.3,232.2,299.4,258.7,169.7,60.9,656.1,66.3,1145.7,1477,1614.7,936,336,3422.2,345.6
108.1,139.4,109.9,73.4,25.9,278.6,28.1,177.5,228.8,228.2,134.7,47.5,483.5,48.8,274.5,353.9,278.9,186.4,65.7,707.2,71.4,1354.2,1745.8,1740.9,1028,362.3,3689,372.6
111.7,144,108.8,88.8,25.6,271.9,27.9,183.4,236.4,226.1,162.9,47,471.9,48.4,283.6,365.6,276.3,225.4,65.1,690.3,70.8,1399.1,1803.7,1724.8,1243,359,3600.7,369.2
126.1,162.6,128.3,104.1,30.2,316.2,32.9,207,266.8,266.5,191,55.5,548.8,57,320.1,412.7,325.7,264.2,76.7,802.8,83.4,1579.3,2036,2033.1,1457,423.1,4187.5,435.2
164.5,212.1,155.6,108.3,36.7,387.9,39.9,270.1,348.2,323.2,198.7,67.3,673.3,69.2,417.7,538.4,395,275,93.1,984.8,101.2,2060.5,2656.4,2465.9,1516.1,513.2,5136.8,527.8
