start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
Eastern,Western,630794.6187,30555.07645,0.045480667,149221,202112,2018,797.9065107,314827.3317,488518.1596,0.022695905,0.031962095,175.8387665,310.2731194,1434140.11,0.100138667,1284.018397,69468.34897
Eastern,ERCOT,333984.6216,16177.88951,0.020748327,149640,303537,2018,278.501046,314827.3317,271718.0809,0.022695905,0.021446432,175.8387665,222.8032491,920530.0343,0.064890664,677.1430617,44589.57755
Western,ERCOT,749213.1611,36291.15521,0.059687169,300883,202112,2018,1047.143361,488518.1596,271718.0809,0.031962095,0.021446432,310.2731194,222.8032491,1509449.402,0.113095696,1580.21973,73116.25764
